2021-09-22 09:03:04 INFO  GUI:148 - GUI Initialized
2021-09-22 09:03:35 INFO  GUI:148 - GUI Initialized
2021-09-22 09:06:21 INFO  GUI:153 - GUI Initialized
2021-09-22 09:06:42 INFO  GUI:153 - GUI Initialized
2021-09-22 09:07:45 INFO  GUI:153 - GUI Initialized
2021-09-22 09:08:22 INFO  GUI:148 - GUI Initialized
2021-09-22 09:10:17 INFO  GUI:149 - GUI Initialized
2021-09-22 09:10:36 INFO  GUI:149 - GUI Initialized
2021-09-22 09:10:51 INFO  GUI:149 - GUI Initialized
2021-09-22 09:11:02 INFO  GUI:149 - GUI Initialized
2021-09-22 09:19:48 INFO  GUI:150 - GUI Initialized
2021-09-22 09:21:21 INFO  GUI:151 - GUI Initialized
2021-09-22 09:24:37 INFO  GUI:264 - Gross Sales Calculated from GUI
2021-09-22 09:24:40 INFO  GUI:272 - Gross Profits Calculated from GUI
2021-09-22 09:27:33 INFO  GUI:264 - Gross Sales Calculated from GUI
2021-09-22 09:27:45 INFO  GUI:272 - Gross Profits Calculated from GUI
2021-09-22 09:30:43 INFO  GUI:151 - GUI Initialized
2021-09-22 09:46:42 INFO  GUI:160 - Application Closed By User
2021-09-22 11:34:06 INFO  GUI:151 - GUI Initialized
2021-09-22 11:34:58 INFO  GUI:160 - Application Closed By User
2021-09-22 17:52:29 INFO  GUI:152 - GUI Initialized
2021-09-22 17:52:34 INFO  GUI:267 - Gross Sales Calculated from GUI
2021-09-22 17:53:18 INFO  GUI:153 - GUI Initialized
2021-09-22 17:53:29 WARN  GUI:187 - javax.swing.JTextField[,0,19,195x20,invalid,layout=javax.swing.plaf.basic.BasicTextUI$UpdateHandler,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@7b396573,flags=296,maximumSize=,minimumSize=,preferredSize=,caretColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],disabledTextColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],editable=true,margin=javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0],selectedTextColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],selectionColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],columns=0,columnWidth=0,command=,horizontalAlignment=LEADING]login failed
2021-09-22 17:53:36 INFO  GUI:183 - javax.swing.JTextField[,0,19,195x20,invalid,layout=javax.swing.plaf.basic.BasicTextUI$UpdateHandler,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@7b396573,flags=296,maximumSize=,minimumSize=,preferredSize=,caretColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],disabledTextColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],editable=true,margin=javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0],selectedTextColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],selectionColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],columns=0,columnWidth=0,command=,horizontalAlignment=LEADING]login successful
2021-09-22 17:55:07 INFO  GUI:153 - GUI Initialized
